U: (3.7, 4.1, 97.5)
P: (3.7, 4.1, 97.5)
U: (3.7, 4.3, 82.5)
P: (3.7, 4.3, 82.5)
U: (3.5, 4.5, 157.5)
P: (3.5, 4.5, 157.5)
U: (3.3, 4.7, 22.5)
P: (3.3, 4.7, 22.5)
U: (3.3, 4.9, 7.5)
P: (3.3, 4.9, 7.5)
U: (3.3, 4.7, 172.5)
P: (3.3, 4.7, 172.5)
U: (3.3, 4.7, 172.5)
P: (3.3, 4.7, 172.5)
U: (3.3, 4.7, 172.5)
P: (3.3, 4.7, 172.5)
U: (3.3, 4.7, 172.5)
P: (3.3, 4.7, 172.5)
U: (3.3, 4.7, 172.5)
P: (3.3, 4.7, 172.5)
U: (3.3, 4.7, 172.5)
P: (3.3, 4.7, 172.5)
U: (3.1, 4.7, -157.5)
